,Image,Labels_Rekognition,Labels_Vision,Labels_Azure
10,inscripted coin arabic.jpg,"['Coin', 'Money', 'Machine', 'Wheel', 'Nickel']","['Font', 'Circle', 'Artifact', 'Art', 'Symbol', 'Drawing', 'Metal', 'Logo', 'Illustration', 'Pattern']","['drawing (89.99%)', 'art (89.71%)', 'symbol (84.75%)', 'coin (45.49%)']"
11,iphone 15.jpg,"['Electronics', 'Mobile Phone', 'Phone']","['Mobile phone', 'Telephony', 'Camera', 'Communication Device', 'Gesture', 'Telephone', 'Portable communications device', 'Bumper', 'Mobile device', 'Gadget']","['electronic device (96.43%)', 'gadget (96.41%)', 'mobile phone (86.76%)', 'electronics (86.62%)', 'portable communications device (84.19%)', 'smartphone (80.98%)']"
12,kitchen hob.jpg,"['Indoors', 'Kitchen', 'Cooking Pot', 'Cookware', 'Pot', 'Milk', 'Interior Design', 'Spoon', 'Device', 'Kitchen Island']","['Building', 'Pot rack', 'Cabinetry', 'Kitchen utensil', 'Kitchen stove', 'Wood', 'Home appliance', 'Tableware', 'Kitchen', 'Kitchen appliance']","['indoor (99.63%)', 'countertop (97.79%)', 'wall (97.52%)', 'sink (96.84%)', 'cabinetry (96.50%)', 'kitchen appliance (96.50%)', 'home appliance (94.13%)', 'gas stove (91.86%)', 'kitchen stove (91.52%)', 'drawer (90.79%)', 'cupboard (89.80%)', 'plumbing fixture (89.14%)', 'kitchen sink (88.54%)', 'cooktop (88.46%)', 'tap (86.63%)', 'cookware and bakeware (85.37%)', 'furniture (85.32%)', 'kettle (84.46%)', 'tool (84.30%)', 'stove (75.79%)', 'kitchen (61.13%)', 'pot (60.42%)', 'pan (57.59%)']"
13,kitchen table.jpg,"['Device', 'Appliance', 'Electrical Device', 'Microwave', 'Oven', 'Cooking', 'Roasting', 'Baking']","['Food', 'Tableware', 'Kitchen appliance', 'Home appliance', 'Kitchen', 'Wood', 'Interior design', 'Cuisine', 'Plant', 'Major appliance']","['kitchen appliance (98.84%)', 'cabinet (98.51%)', 'appliance (98.48%)', 'indoor (97.87%)', 'home appliance (97.63%)', 'oven (96.26%)', 'microwave oven (91.91%)', 'major appliance (88.82%)', 'wall (88.37%)', 'food warmer (87.82%)', 'toaster oven (86.68%)', 'fast food (86.47%)', 'food (82.33%)', 'kitchen (76.06%)', 'cooking (58.19%)']"
14,lime ebikes.jpg,"['Wheel', 'Person', 'Bicycle', 'Vehicle', 'Necklace', 'Hat', 'Cycling', 'Motorcycle', 'Face', 'Tricycle']","['Bicycle', 'Tire', 'Wheel', 'Bicycle tire', 'Crankset', 'Vehicle', 'Automotive tire', 'Bicycle frame', 'Bicycle fork', 'Bicycle saddle']","['wheel (99.81%)', 'land vehicle (99.17%)', 'vehicle (99.12%)', 'building (97.79%)', 'transport (97.39%)', 'tire (97.13%)', 'outdoor (96.15%)', 'bicycle wheel (94.17%)', 'spoke (90.15%)', 'bicycle (90.04%)', 'street (88.99%)', 'ground (81.21%)', 'tricycle (79.91%)', 'parked (79.59%)', 'sidewalk (63.74%)', 'bike (49.76%)']"
15,london busses.jpg,"['Bus', 'Transportation', 'Vehicle', 'Double Decker Bus', 'Tour Bus', 'Person', 'Bus Stop', 'Outdoors']","['Bus', 'Land vehicle', 'Wheel', 'Vehicle', 'Double-decker bus', 'Tire', 'Vehicle registration plate', 'Motor vehicle', 'Automotive parking light', 'Mode of transport']","['text (99.85%)', 'vehicle (99.66%)', 'land vehicle (99.60%)', 'outdoor (99.55%)', 'bus (99.28%)', 'decker (98.82%)', 'road (98.67%)', 'transport (98.15%)', 'mode of transport (97.60%)', 'double-decker bus (96.73%)', 'wheel (93.58%)', 'street (91.09%)', 'public transport (89.57%)', 'vehicle registration plate (88.69%)', 'red (86.19%)', 'driving (64.49%)', 'city (59.53%)']"
16,london fast train.jpg,"['Railway', 'Train', 'Transportation', 'Vehicle', 'Terminal', 'Train Station', 'Bullet Train', 'Locomotive']","['Train', 'Vehicle', 'Rolling stock', 'Nature', 'Transport hub', 'Mode of transport', 'Electricity', 'Track', 'Railway', 'Locomotive']","['transport (99.45%)', 'train (98.95%)', 'public transport (96.81%)', 'track (96.60%)', 'railway (96.19%)', 'vehicle (95.60%)', 'train station (94.80%)', 'transport hub (93.27%)', 'outdoor (92.97%)', 'rolling stock (92.27%)', 'high-speed rail (92.12%)', 'passenger car (91.36%)', 'bullet train (90.77%)', 'metro (90.56%)', 'land vehicle (90.56%)', 'building (90.43%)', 'metro station (90.13%)', 'railroad car (87.03%)', 'railroad (78.20%)', 'platform (75.08%)', 'red (66.57%)', 'parked (57.71%)', 'ground (57.49%)', 'rail (46.64%)']"
17,long truck.jpg,"['Transportation', 'Truck', 'Vehicle', '18-wheeler Truck']","['Vehicle registration plate', 'Tire', 'Wheel', 'Sky', 'Vehicle', 'Motor vehicle', 'Truck', 'Asphalt', 'Bumper', 'Automotive exterior']","['transport (99.72%)', 'vehicle (99.42%)', 'wheel (99.30%)', 'land vehicle (98.84%)', 'commercial vehicle (96.41%)', 'outdoor (96.33%)', 'freight transport (95.85%)', 'trailer (94.86%)', 'trailer truck (94.76%)', 'cargo (92.54%)', 'mode of transport (91.73%)', 'yellow (90.18%)', 'tire (89.08%)', 'motor vehicle (88.61%)', 'auto part (86.24%)', 'lorry (76.46%)', 'large (63.53%)', 'truck (56.36%)', 'parked (55.20%)']"
18,militray truck.jpg,"['Bumper', 'Vehicle', 'Bulldozer', 'Machine', 'Armored', 'Military', 'Wheel', 'Half Track', 'Truck', 'Weapon']","['Wheel', 'Tire', 'Automotive parking light', 'Vehicle', 'Sky', 'Automotive tire', 'Hood', 'Motor vehicle', 'Tread', 'Grille']","['transport (99.72%)', 'vehicle (99.55%)', 'wheel (99.46%)', 'land vehicle (99.27%)', 'tire (98.88%)', 'outdoor (97.07%)', 'military vehicle (96.34%)', 'sky (96.02%)', 'off-road vehicle (94.28%)', 'auto part (94.18%)', 'automotive tire (91.84%)', 'tread (91.43%)', 'humvee (88.98%)', 'armored car (88.30%)', 'mountain (85.86%)', 'combat vehicle (84.67%)', 'military (70.54%)', 'ground (67.21%)', 'jeep (47.45%)', 'truck (46.70%)']"
19,nokia old phone.jpg,"['Electronics', 'Mobile Phone', 'Phone', 'Texting']","['Mobile phone', 'Telephone', 'Telephony', 'Communication Device', 'Portable communications device', 'Mobile device', 'Space bar', 'Gadget', 'Font', 'Numeric keypad']","['mobile phone (98.29%)', 'gadget (97.64%)', 'electronic device (97.06%)', 'portable communications device (96.81%)', 'communication device (96.06%)', 'mobile device (94.52%)', 'phone (92.28%)', 'telephone (92.08%)', 'telephony (91.13%)', 'smartphone (89.84%)', 'everyday carry (89.72%)', 'indoor (88.52%)', 'floor (87.88%)', 'feature phone (87.49%)', 'electronics (87.27%)', 'multimedia (84.13%)', 'cellphone (72.79%)']"
20,old cellphone.jpg,"['Electronics', 'Phone', 'Mobile Phone', 'Computer', 'Hand-Held Computer', 'Texting']","['Mobile phone', 'Telephony', 'Portable communications device', 'Communication Device', 'Mobile device', 'Gadget', 'Telephone', 'Font', 'Multimedia', 'Electronic device']","['electronics (99.64%)', 'telephone (98.50%)', 'mobile phone (97.88%)', 'electronic device (96.73%)', 'gadget (95.98%)', 'portable communications device (95.45%)', 'communication device (95.45%)', 'mobile device (94.56%)', 'telephony (93.86%)', 'feature phone (91.43%)', 'smartphone (88.73%)', 'cellular network (88.35%)', 'multimedia (84.83%)', 'phone (82.17%)', 'cellphone (64.79%)']"
21,old pottery 2.jpg,"['Silver', 'Bowl', 'Scoreboard', 'Glass', 'Pottery']","['Dishware', 'Drinkware', 'Serveware', 'Artifact', 'Souvenir', 'Art', 'Font', 'Porcelain', 'Tableware', 'Ceramic']","['tableware (96.25%)', 'dishware (91.60%)', 'silver (85.71%)', 'ceramic (84.91%)', 'bowl (80.88%)', 'indoor (55.81%)']"
22,old pottery.jpg,"['Jug', 'Jar', 'Pottery', 'Vase', 'Water Jug', 'Smoke Pipe', 'Bulldozer', 'Machine']","['Drinkware', 'Vase', 'Serveware', 'Art', 'Artifact', 'Creative arts', 'Tableware', 'Pottery', 'Urn', 'earthenware']","['pottery (94.21%)', 'earthenware (94.06%)', 'vase (93.39%)', 'urn (88.67%)', 'ceramic (88.08%)', 'indoor (83.14%)', 'jar (77.35%)', 'plant (68.84%)', 'art (47.35%)', 'museum (44.57%)']"
23,parked aeroplanes.jpg,"['Aircraft', 'Airplane', 'Transportation', 'Vehicle', 'Military Base', 'Air Base', 'Airfield', 'Airport', 'Runway']","['Automotive tire', 'Wood', 'Tire', 'Line', 'Automotive wheel system', 'Landscape', 'Wheel', 'Grass', 'Agriculture', 'Soil']","['outdoor (99.42%)', 'plane (98.89%)', 'vehicle (98.73%)', 'ground (98.67%)', 'air travel (95.52%)', 'aircraft (92.80%)', 'jet aircraft (92.08%)', 'transport (90.86%)', 'aviation (90.29%)', 'aerospace manufacturer (87.17%)', 'airplane (87.11%)', 'general aviation (86.70%)', 'jet (63.88%)', 'runway (57.72%)', 'aerial (55.32%)']"
24,piccadily line.jpg,"['Terminal', 'Railway', 'Train', 'Train Station', 'Vehicle', 'Subway', 'American Football (Ball)', 'Computer Hardware', 'Monitor', 'Screen']","['Train', 'Land vehicle', 'Vehicle', 'Rolling stock', 'Transport hub', 'Fixture', 'Railway', 'Mode of transport', 'Electricity', 'Track']","['transport (99.72%)', 'train (99.45%)', 'public transport (97.87%)', 'train station (96.41%)', 'railway (95.92%)', 'metro station (95.56%)', 'transport hub (94.77%)', 'passenger car (94.69%)', 'metro (94.29%)', 'rolling stock (94.23%)', 'railroad car (89.52%)', 'vehicle (89.22%)', 'high-speed rail (87.77%)', 'track (86.05%)', 'bullet train (84.35%)', 'platform (82.11%)', 'subway (66.19%)', 'railroad (61.84%)', 'indoor (54.73%)']"
25,sofas.jpg,"['Couch', 'Furniture', 'Table', 'Backyard', 'Nature', 'Outdoors', 'Home Decor', 'Cushion', 'Housing', 'Coffee Table']","['Furniture', 'Plant', 'Couch', 'Property', 'Outdoor sofa', 'Tree', 'Outdoor furniture', 'Wood', 'Sky', 'Table']","['tree (98.40%)', 'couch (98.24%)', 'studio couch (96.73%)', 'outdoor (96.06%)', 'furniture (93.16%)', 'sofa bed (93.08%)', 'loveseat (89.61%)', 'outdoor furniture (88.78%)', 'armrest (87.95%)', 'outdoor sofa (87.91%)', 'futon pad (84.64%)', 'sofa (79.02%)', 'floor (64.21%)', 'wood (59.29%)', 'ground (58.47%)']"
26,take off.jpg,"['Aircraft', 'Takeoff', 'Vehicle', 'Airliner', 'Airplane', 'Airport', 'Flight', 'Control Tower', 'Tower', 'Airfield']","['Sky', 'Aircraft', 'Airplane', 'Jet engine', 'Aerospace manufacturer', 'Aircraft engine', 'Aviation', 'Flap', 'Travel', 'Air travel']","['plane (99.67%)', 'outdoor (99.44%)', 'sky (98.71%)', 'air travel (98.43%)', 'aircraft (98.24%)', 'airliner (97.42%)', 'airline (97.41%)', 'airport (93.61%)', 'aviation (92.29%)', 'narrow-body aircraft (91.75%)', 'airplane (91.49%)', 'aerospace engineering (91.34%)', 'aircraft engine (91.19%)', 'vehicle (90.89%)', 'jet aircraft (90.51%)', 'flap (89.75%)', 'jet engine (88.76%)', 'twinjet (86.34%)', 'wing (84.65%)', 'transport (81.47%)', 'jet (77.84%)', 'air (66.47%)', 'tower (62.87%)', 'mountain (62.70%)', 'runway (59.75%)']"
27,type writer.jpg,"['Computer', 'Computer Hardware', 'Computer Keyboard', 'Electronics', 'Hardware', 'Speaker', 'Pc', 'Monitor', 'Screen', 'Hand-Held Computer']","['Peripheral', 'Input device', 'Output device', 'Space bar', 'Computer keyboard', 'Office equipment', 'Gadget', 'Office supplies', 'Electronic instrument', 'Font']","['office equipment (98.02%)', 'electronic device (96.28%)', 'office supplies (94.78%)', 'input device (93.91%)', 'space bar (93.57%)', 'peripheral (92.20%)', 'gadget (91.26%)', 'computer component (88.66%)', 'computer keyboard (87.65%)', 'text (84.35%)', 'keyboard (80.25%)', 'indoor (77.84%)', 'computer (74.20%)']"
28,US_Marine_Corps_truck.jpg,"['Bumper', 'Vehicle', 'Truck', 'Wheel', 'Adult', 'Male', 'Man', 'Person', 'Car', 'Shoe']","['Wheel', 'Tire', 'Automotive parking light', 'Vehicle', 'Automotive tire', 'Hood', 'Truck', 'Tread', 'Sky', 'Car']","['transport (99.90%)', 'vehicle (99.80%)', 'wheel (99.79%)', 'land vehicle (99.53%)', 'tire (99.39%)', 'military vehicle (98.60%)', 'sky (97.14%)', 'truck (96.52%)', 'outdoor (96.00%)', 'auto part (95.80%)', 'automotive tire (91.35%)', 'medium tactical vehicle replacement (90.49%)', 'tread (90.01%)', 'armored car (89.61%)', 'combat vehicle (87.84%)', 'off-road vehicle (87.72%)', 'military (85.86%)', 'mode of transport (84.44%)', 'humvee (84.02%)', 'parked (53.13%)']"
29,utensils.jpg,"['Cookware', 'Pot', 'Cooking Pot', 'Food', 'Cooking Pan', 'Bottle', 'Shaker', 'Bowl']","['Tableware', 'Dishware', 'Drinkware', 'Kitchen appliance', 'Serveware', 'Kitchen utensil', 'Cookware and bakeware', 'Cutlery', 'Kitchen', 'Cup']","['kitchenware (92.42%)', 'cookware and bakeware (91.88%)', 'kitchen utensil (90.97%)', 'indoor (90.06%)', 'kettle (85.16%)', 'silver (69.13%)']"
30,walkman.jpg,"['Electronics', 'Tape Player', 'Cassette Player', 'First Aid']","['Musical instrument accessory', 'Office equipment', 'Gadget', 'Output device', 'Audio equipment', 'Bumper', 'Machine', 'Electronic instrument', 'Font', 'Office supplies']","['text (98.83%)', 'office supplies (91.48%)', 'indoor (91.05%)', 'mobile phone (90.67%)', 'gadget (86.11%)', 'electronic device (84.76%)', 'device (65.65%)', 'floor (55.52%)', 'control (54.83%)', 'design (53.25%)']"
